interval_label,original_category,chunk_category,weighted_row_share
6-10,Foreign Affairs & Defence,Indigenous & Northern Affairs,0.002070393374741201
6-10,Foreign Affairs & Defence,Intergovernmental & Constitutional Affairs,0.008799171842650104
6-10,Foreign Affairs & Defence,"Justice, Rights & Immigration",0.01997066942719117
6-10,Foreign Affairs & Defence,Parliamentary Affairs,0.03314067172762826
6-10,Foreign Affairs & Defence,Social Policy,0.020286979526109965
6-10,Foreign Affairs & Defence,Trade & Industry,0.011904761904761908
6-10,Government Operations & Ethics,Agriculture & Natural Resources,0.020934280144806458
6-10,Government Operations & Ethics,Economic & Fiscal Policy,0.05688526872737398
6-10,Government Operations & Ethics,Foreign Affairs & Defence,0.018205235310498467
6-10,Government Operations & Ethics,Government Operations & Ethics,0.6048663324979114
6-10,Government Operations & Ethics,Indigenous & Northern Affairs,0.0068295739348370925
6-10,Government Operations & Ethics,Intergovernmental & Constitutional Affairs,0.037921191868560286
6-10,Government Operations & Ethics,"Justice, Rights & Immigration",0.04121414647730437
6-10,Government Operations & Ethics,Parliamentary Affairs,0.07365636313004734
6-10,Government Operations & Ethics,Social Policy,0.04211222500696185
6-10,Government Operations & Ethics,Trade & Industry,0.09737538290169868
6-10,Indigenous & Northern Affairs,Agriculture & Natural Resources,0.06610942249240122
6-10,Indigenous & Northern Affairs,Economic & Fiscal Policy,0.021614319486659914
6-10,Indigenous & Northern Affairs,Foreign Affairs & Defence,0.0
6-10,Indigenous & Northern Affairs,Government Operations & Ethics,0.034278959810874705
6-10,Indigenous & Northern Affairs,Indigenous & Northern Affairs,0.7488601823708207
6-10,Indigenous & Northern Affairs,Intergovernmental & Constitutional Affairs,0.01802600472813239
6-10,Indigenous & Northern Affairs,"Justice, Rights & Immigration",0.033603512326916586
6-10,Indigenous & Northern Affairs,Parliamentary Affairs,0.02600472813238771
6-10,Indigenous & Northern Affairs,Social Policy,0.03191489361702128
6-10,Indigenous & Northern Affairs,Trade & Industry,0.01958797703478555
6-10,Intergovernmental & Constitutional Affairs,Agriculture & Natural Resources,0.03322921577872073
6-10,Intergovernmental & Constitutional Affairs,Economic & Fiscal Policy,0.07104549740688355
6-10,Intergovernmental & Constitutional Affairs,Foreign Affairs & Defence,0.018564356435643567
6-10,Intergovernmental & Constitutional Affairs,Government Operations & Ethics,0.053257111425428265
6-10,Intergovernmental & Constitutional Affairs,Indigenous & Northern Affairs,0.01946801823039447
6-10,Intergovernmental & Constitutional Affairs,Intergovernmental & Constitutional Affairs,0.5903858242967155
6-10,Intergovernmental & Constitutional Affairs,"Justice, Rights & Immigration",0.028042982869715547
6-10,Intergovernmental & Constitutional Affairs,Parliamentary Affairs,0.1066910262454817
6-10,Intergovernmental & Constitutional Affairs,Social Policy,0.05550644350149301
6-10,Intergovernmental & Constitutional Affairs,Trade & Industry,0.02380952380952381
6-10,"Justice, Rights & Immigration",Agriculture & Natural Resources,0.004839149400218103
6-10,"Justice, Rights & Immigration",Economic & Fiscal Policy,0.006512783230340482
6-10,"Justice, Rights & Immigration",Foreign Affairs & Defence,0.011677571792075608
6-10,"Justice, Rights & Immigration",Government Operations & Ethics,0.04357506361323155
6-10,"Justice, Rights & Immigration",Indigenous & Northern Affairs,0.002362777171937477
6-10,"Justice, Rights & Immigration",Intergovernmental & Constitutional Affairs,0.029936083848297587
6-10,"Justice, Rights & Immigration","Justice, Rights & Immigration",0.7591178965224766
6-10,"Justice, Rights & Immigration",Parliamentary Affairs,0.05766085059978189
6-10,"Justice, Rights & Immigration",Social Policy,0.06212892281594572
6-10,"Justice, Rights & Immigration",Trade & Industry,0.022188901005694896
6-10,Parliamentary Affairs,Agriculture & Natural Resources,0.018675273139558853
6-10,Parliamentary Affairs,Economic & Fiscal Policy,0.049429241393527105
6-10,Parliamentary Affairs,Foreign Affairs & Defence,0.009720933828076685
6-10,Parliamentary Affairs,Government Operations & Ethics,0.09390460729746444
6-10,Parliamentary Affairs,Indigenous & Northern Affairs,0.0009469696969696969
6-10,Parliamentary Affairs,Intergovernmental & Constitutional Affairs,0.05808080808080808
6-10,Parliamentary Affairs,"Justice, Rights & Immigration",0.036564625850340135
6-10,Parliamentary Affairs,Parliamentary Affairs,0.6877319109461966
6-10,Parliamentary Affairs,Social Policy,0.022089517625231907
6-10,Parliamentary Affairs,Trade & Industry,0.022856112141826427
6-10,Social Policy,Agriculture & Natural Resources,0.014868394615230058
6-10,Social Policy,Economic & Fiscal Policy,0.06977513227513227
6-10,Social Policy,Foreign Affairs & Defence,0.008313240908177616
6-10,Social Policy,Government Operations & Ethics,0.026124338624338623
6-10,Social Policy,Indigenous & Northern Affairs,0.007421639541892706
6-10,Social Policy,Intergovernmental & Constitutional Affairs,0.029879110575313103
6-10,Social Policy,"Justice, Rights & Immigration",0.018966412162614694
6-10,Social Policy,Parliamentary Affairs,0.04759393208760297
6-10,Social Policy,Social Policy,0.7478233206081307
6-10,Social Policy,Trade & Industry,0.029234478601567207
6-10,Trade & Industry,Agriculture & Natural Resources,0.07612462743467109
6-10,Trade & Industry,Economic & Fiscal Policy,0.08322069730366673
6-10,Trade & Industry,Foreign Affairs & Defence,0.012662889027517847
6-10,Trade & Industry,Government Operations & Ethics,0.06547619047619048
6-10,Trade & Industry,Indigenous & Northern Affairs,0.0011523532265890345
6-10,Trade & Industry,Intergovernmental & Constitutional Affairs,0.01782681777223262
6-10,Trade & Industry,"Justice, Rights & Immigration",0.012675885492479378
