basepk,chunk_total,original_category,original_cluster,category_entropy_raw,category_entropy_adjusted,cluster_entropy_raw,cluster_entropy_adjusted,category_retention,cluster_retention,category_distinct_count,cluster_distinct_count,category_dominant_share,cluster_dominant_share
3446345,2,Parliamentary Affairs,10,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3446647,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3446674,2,Parliamentary Affairs,1,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3446718,2,Parliamentary Affairs,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.5,2,2,0.5,0.5
3447272,2,Agriculture & Natural Resources,4,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3447431,2,Agriculture & Natural Resources,1,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3447711,2,Parliamentary Affairs,12,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3447733,2,Agriculture & Natural Resources,17,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3448057,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3448067,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3448239,2,Parliamentary Affairs,15,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3448365,2,Economic & Fiscal Policy,4,0.6931471805599453,1.0,0.0,0.0,0.0,1.0,2,1,0.5,1.0
3448755,2,Agriculture & Natural Resources,1,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3448921,2,Social Policy,7,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3449231,2,Agriculture & Natural Resources,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449285,2,Parliamentary Affairs,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449305,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449316,2,Foreign Affairs & Defence,9,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3449362,2,Foreign Affairs & Defence,18,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,1,2,1.0,0.5
3449432,2,Agriculture & Natural Resources,16,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449449,2,Foreign Affairs & Defence,4,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3449549,2,Government Operations & Ethics,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449566,2,Social Policy,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3449714,2,Agriculture & Natural Resources,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.5,2,2,0.5,0.5
3449817,2,"Justice, Rights & Immigration",8,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3449958,2,Foreign Affairs & Defence,18,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3449964,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3450153,2,Economic & Fiscal Policy,19,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3450415,2,Agriculture & Natural Resources,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3450434,2,Intergovernmental & Constitutional Affairs,3,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3450483,2,Agriculture & Natural Resources,16,0.6931471805599453,1.0,0.0,0.0,0.5,0.0,2,1,0.5,1.0
3450724,2,Agriculture & Natural Resources,16,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,1.0
3450763,2,Trade & Industry,16,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1.0
3450870,2,Social Policy,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3450871,2,Social Policy,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.0,2,2,0.5,0.5
3451032,2,Trade & Industry,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3451424,2,Trade & Industry,10,0.6931471805599453,1.0,0.6931471805599453,1.0,0.0,0.5,2,2,0.5,0.5
3451677,2,Economic & Fiscal Policy,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3451732,2,Intergovernmental & Constitutional Affairs,16,0.0,0.0,0.6931471805599453,1.0,0.0,0.5,1,2,1.0,0.5
3451921,2,Government Operations & Ethics,11,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3452518,2,Parliamentary Affairs,4,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3452710,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3452728,2,Economic & Fiscal Policy,7,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3453473,2,Parliamentary Affairs,1,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3453691,2,Foreign Affairs & Defence,4,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3453700,2,Trade & Industry,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3453843,2,Agriculture & Natural Resources,4,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3453992,2,Economic & Fiscal Policy,16,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3453994,2,Foreign Affairs & Defence,16,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,1,2,1.0,0.5
3454016,2,Intergovernmental & Constitutional Affairs,3,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3454033,2,Trade & Industry,16,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3454279,2,Agriculture & Natural Resources,3,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3454371,2,Parliamentary Affairs,10,0.6931471805599453,1.0,0.0,0.0,0.5,1.0,2,1,0.5,1.0
3454394,2,Government Operations & Ethics,15,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3454431,2,Social Policy,3,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3454659,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
3454735,2,Economic & Fiscal Policy,0,0.6931471805599453,1.0,0.6931471805599453,1.0,0.5,0.5,2,2,0.5,0.5
3454794,2,Trade & Industry,17,0.0,0.0,0.6931471805599453,1.0,1.0,0.5,1,2,1.0,0.5
3455022,2,Parliamentary Affairs,15,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.0
