original_cluster,chunk_cluster,weighted_flow,contributing_speech_n,raw_chunk_n,is_retained
18,0,2.8357142857142854,13,13,False
14,12,2.8333333333333335,6,6,False
11,18,2.831818181818182,11,12,False
15,0,2.8057692307692306,11,11,False
7,15,2.78023088023088,13,16,False
1,6,2.775,10,11,False
15,2,2.68015873015873,12,12,False
12,8,2.6595959595959595,9,10,False
1,8,2.616025641025641,10,14,False
2,5,2.5706349206349204,10,10,False
18,1,2.5206349206349206,13,14,False
8,16,2.518686868686869,13,18,False
5,12,2.4166666666666665,7,8,False
11,6,2.391208791208791,14,18,False
2,9,2.38495670995671,11,11,False
11,14,2.339285714285714,7,12,False
19,17,2.2743256743256746,10,14,False
11,0,2.183766233766234,8,8,False
1,18,2.1825868575868577,11,13,False
12,11,2.1666666666666665,6,7,False
13,7,2.125,11,11,False
0,12,2.1,6,6,False
8,12,2.1,5,5,False
3,8,2.0952380952380953,7,7,False
6,9,2.0277777777777777,8,9,False
12,0,2.0166666666666666,6,7,False
6,12,2.003113553113553,7,7,False
7,9,1.9861111111111112,9,9,False
9,7,1.9444444444444444,5,5,False
12,3,1.9166666666666665,5,5,False
6,18,1.8888888888888888,8,9,False
7,13,1.8833333333333333,8,12,False
19,7,1.8741452991452991,8,9,False
11,7,1.8468975468975468,11,13,False
19,11,1.8333333333333333,4,4,False
7,12,1.8,5,6,False
1,17,1.7816849816849816,7,9,False
1,7,1.7685897435897435,6,8,False
7,11,1.755952380952381,7,8,False
13,1,1.7198412698412697,9,13,False
11,12,1.7,4,4,False
12,14,1.6944444444444444,5,5,False
10,2,1.6666666666666665,5,5,False
9,11,1.6666666666666665,5,6,False
1,14,1.6388888888888888,6,6,False
19,13,1.6111111111111112,4,4,False
18,19,1.6011904761904763,6,6,False
1,2,1.6,5,5,False
11,13,1.6,4,4,False
8,3,1.5333333333333332,4,5,False
9,17,1.5333333333333332,4,4,False
1,19,1.5,7,7,False
13,11,1.4928571428571429,5,5,False
18,7,1.4777777777777779,6,6,False
17,11,1.4558302808302808,10,12,False
12,18,1.45,5,5,False
1,9,1.442099567099567,8,8,False
14,13,1.4333333333333333,5,7,False
8,15,1.425036075036075,9,11,False
13,14,1.4222222222222223,6,7,False
12,7,1.3333333333333333,3,3,False
19,9,1.242063492063492,6,6,False
8,11,1.2396825396825397,5,8,False
9,19,1.2,4,5,False
8,1,1.1702741702741704,7,9,False
19,12,1.1666666666666665,3,3,False
17,12,1.0844988344988344,5,5,False
17,6,1.0833333333333333,3,4,False
14,11,1.0595238095238095,4,5,False
13,6,1.0531135531135531,6,6,False
18,12,0.9761904761904762,3,4,False
19,6,0.9554334554334554,7,9,False
2,1,0.9444444444444444,4,4,False
6,14,0.9353535353535354,6,6,False
13,2,0.9345238095238095,4,4,False
9,6,0.9242424242424243,3,4,False
5,2,0.9115440115440115,6,8,False
15,7,0.8916666666666666,4,4,False
11,17,0.875,4,5,False
2,18,0.8532467532467533,5,5,False
18,11,0.85,3,3,False
8,9,0.8166666666666667,4,5,False
14,5,0.8,2,4,False
15,17,0.791880341880342,4,6,False
0,2,0.7666666666666666,3,3,False
12,17,0.75,2,2,False
2,12,0.75,2,2,False
9,1,0.7337662337662338,3,3,False
5,14,0.7142857142857142,4,4,False
12,5,0.7,2,2,False
0,14,0.6666666666666666,2,2,False
17,14,0.6666666666666666,2,2,False
7,19,0.6587662337662338,5,5,False
9,0,0.6583333333333333,3,3,False
6,8,0.6242424242424243,3,3,False
11,19,0.6,2,2,False
13,12,0.5909090909090909,2,2,False
2,8,0.5833333333333334,2,2,False
17,7,0.5773809523809523,4,4,False
12,19,0.5333333333333333,2,2,False
8,6,0.5,1,1,False
19,2,0.5,1,1,False
18,2,0.5,2,2,False
2,6,0.5,1,1,False
14,7,0.5,1,1,False
12,2,0.5,1,1,False
19,14,0.5,2,2,False
6,17,0.45,3,3,False
7,17,0.4444444444444444,2,2,False
2,7,0.375,2,2,False
6,2,0.3666666666666667,2,3,False
2,11,0.3333333333333333,1,1,False
5,8,0.3333333333333333,1,1,False
17,2,0.32900432900432897,3,3,False
14,19,0.30952380952380953,2,3,False
8,19,0.2857142857142857,1,2,False
12,6,0.25,1,1,False
8,18,0.25,1,1,False
14,0,0.25,1,1,False
13,19,0.2361111111111111,2,2,False
6,19,0.16783216783216784,2,2,False
11,8,0.16666666666666666,1,1,False
12,13,0.125,1,1,False
8,14,0.1111111111111111,1,1,False
8,5,0.1111111111111111,1,1,False
8,7,0.1111111111111111,1,1,False
2,14,0.1,1,1,False
9,2,0.09090909090909091,1,1,False
2,0,0.09090909090909091,1,1,False
18,6,0.08333333333333333,1,1,False
19,8,0.07692307692307693,1,1,False
7,2,0.07142857142857142,1,1,False
