interval_label,original_cluster,chunk_cluster,weighted_row_share
2-6,6,5,0.02000998003992016
2-6,6,6,0.6188622754491018
2-6,6,7,0.008383233532934131
2-6,6,8,0.0015968063872255488
2-6,6,9,0.003992015968063872
2-6,6,10,0.05084830339321358
2-6,6,11,0.011127744510978045
2-6,6,12,0.005339321357285429
2-6,6,13,0.0
2-6,6,14,0.0011976047904191617
2-6,6,15,0.016816367265469062
2-6,6,16,0.06317365269461078
2-6,6,17,0.0005988023952095808
2-6,6,18,0.003243512974051896
2-6,6,19,0.0
2-6,7,0,0.009237536656891495
2-6,7,1,0.008064516129032258
2-6,7,2,0.0
2-6,7,3,0.018426197458455522
2-6,7,4,0.14809384164222875
2-6,7,5,0.032893450635386116
2-6,7,6,0.002737047898338221
2-6,7,7,0.5874877810361682
2-6,7,8,0.0
2-6,7,9,0.0034213098729227757
2-6,7,10,0.02287390029325513
2-6,7,11,0.0034213098729227757
2-6,7,12,0.005278592375366569
2-6,7,13,0.0021994134897360706
2-6,7,14,0.0
2-6,7,15,0.005278592375366569
2-6,7,16,0.13807429130009777
2-6,7,17,0.0009775171065493646
2-6,7,18,0.010948191593352884
2-6,7,19,0.0005865102639296188
2-6,8,0,0.0
2-6,8,1,0.005208333333333334
2-6,8,2,0.0
2-6,8,3,0.014236111111111114
2-6,8,4,0.2270833333333334
2-6,8,5,0.0
2-6,8,6,0.005208333333333334
2-6,8,7,0.0
2-6,8,8,0.6756944444444445
2-6,8,9,0.004687500000000001
2-6,8,10,0.023784722222222224
2-6,8,11,0.007291666666666668
2-6,8,12,0.020833333333333336
2-6,8,13,0.0
2-6,8,14,0.0
2-6,8,15,0.002604166666666667
2-6,8,16,0.010763888888888889
2-6,8,17,0.0
2-6,8,18,0.002604166666666667
2-6,8,19,0.0
2-6,9,0,0.0012578616352201255
2-6,9,1,0.0011792452830188677
2-6,9,2,0.0
2-6,9,3,0.02240566037735849
2-6,9,4,0.16540880503144653
2-6,9,5,0.007665094339622641
2-6,9,6,0.0011792452830188677
2-6,9,7,0.004323899371069181
2-6,9,8,0.006682389937106917
2-6,9,9,0.6105738993710691
2-6,9,10,0.061713836477987415
2-6,9,11,0.0029481132075471696
2-6,9,12,0.008647798742138363
2-6,9,13,0.00990566037735849
2-6,9,14,0.01493710691823899
2-6,9,15,0.012264150943396225
2-6,9,16,0.04654088050314465
2-6,9,17,0.003616352201257861
2-6,9,18,0.016509433962264147
2-6,9,19,0.0022405660377358486
2-6,10,0,0.004636989931107578
2-6,10,1,0.014776541247129482
2-6,10,2,0.000794912559618442
2-6,10,3,0.011058116940469882
2-6,10,4,0.23424306659600777
2-6,10,5,0.005670376258611553
2-6,10,6,0.0037537537537537537
2-6,10,7,0.0035241123476417594
2-6,10,8,0.0032591414944356124
2-6,10,9,0.01670199611376082
2-6,10,10,0.5888535594417947
