basepk,hid,speechdate,pid,opid,speakeroldname,speakerposition,maintopic,subtopic,subsubtopic,speechtext,speakerparty,speakerriding,speakername,speakerurl
740955,ca.proc.d.1925-05-04.4.7.2,1925-05-04,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,Hon. Mr. GRAHAM:,Minister of Railways and Canals,QUESTIONS,CANADIAN NATIONAL RAILWAYS-STATISTICS,,"(a)	Revenue freight, 52,498,614 tons.
(b)	16,932,406,010.
(c)	1.010 cents.
(d)	Revenue passengers 22,707,880.
(e)	1372,335,263.
(f)	2.713 cents.

",Liberal,,George Perry Graham,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
740956,ca.proc.d.1925-05-04.4.8,1925-05-04,,,,subtopic,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,,,,,
740957,ca.proc.d.1925-05-04.4.8.1,1925-05-04,0e1575e1-8782-4de1-8bdb-742a2019685e,ca.m.724,,,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"1.	Have the officials of the Grand Trunk railway returned the gratuities given them by the former management in accordance with p statement made in this House by the Minister of Railways in 1923?
2.	If so, when?

",Progressive,,Mr. WARJD:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=0e1575e1-8782-4de1-8bdb-742a2019685e&Language=E&Section=ALL
740958,ca.proc.d.1925-05-04.4.8.2,1925-05-04,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,Hon. Mr. GRAHAM:,Minister of Railways and Canals,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"I can answer this
question orally.
1.	They have not.
2.	No. 2 is answered by No. 1. A com-mision was appointed to investigate all the gratuities etcetera of the old Grand Trunk. That commission found that all these payments had been legally made and that the company had a perfect right to make them. It intimated, if I remember correctly-and I think I do-that in the opinion of the commission it would not be in the interest of the railway operation itself to insist that these moneys be refunded.

",Liberal,,George Perry Graham,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
740959,ca.proc.d.1925-05-04.4.8.3,1925-05-04,d02a7b53-dad0-4944-82b0-aed9054a7bc2,ca.m.4870,Mr. MEIGHEN:,Leader of the Official Opposition,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"Is that the opinion of
the government?

",Conservative (1867-1942),,Arthur Meighen,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d02a7b53-dad0-4944-82b0-aed9054a7bc2&Language=E&Section=ALL
740960,ca.proc.d.1925-05-04.4.8.4,1925-05-04,d37caeac-e2c8-4010-a406-bd6c910d1265,ca.m.6702,Mr. GRAHAM:,Minister of Railways and Canals,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"I have not said that.
WEMBLEY EXHIBITION Mr. DOUCET:
1.	Was any person sent by the government to act as hostess at the Wembley exhibition?
2.	If so, who is the person, and what is her place of residence?
3.	For what length of time was she on duty?
4.	What is the amount paid and to be paid to her (a) for services, (b) for travel and living expenses, (c) for other outlay?

",Liberal,,George Perry Graham,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=d37caeac-e2c8-4010-a406-bd6c910d1265&Language=E&Section=ALL
740961,ca.proc.d.1925-05-04.4.8.5,1925-05-04,3c716a03-43b1-401d-820f-7921b10e5565,ca.m.6937,,Minister of Immigration and Colonization,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"1.	No.
2,	3 and 4. Answered by No. 1.
CIVIL SERVICE SUPERANNUATION Mr. McQUARRIE:
1.	Is the Minister of Finance aware that the effect of subsection (a) of section 5 of the Superannuation Act of 1924, is to confiscate the contribution of a civil servant who should voluntarily retire before having ten years' service?
2.	What is the justification for this policy of confiscation ?
3.	What becomes of the contribution of the civil servant so confiscated?

",Liberal,,Hon. Mr. ROBB:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c716a03-43b1-401d-820f-7921b10e5565&Language=E&Section=ALL
740962,ca.proc.d.1925-05-04.4.8.6,1925-05-04,3c716a03-43b1-401d-820f-7921b10e5565,ca.m.6937,,Minister of Immigration and Colonization,QUESTIONS,GRAND TRUNK RAILWAY-GRATUITIES TO OFFICIALS,,"1.	The minister is aware that under the
Superannuation Act, 1924, no benefit is payable in the event of the voluntary retirement of a civil servant having less than ten years' service.	[DOT]
2.	This feature of the act is not properly described as confiscation. The principle involved has been contained in both previous Superannuation Acts.
3.	The contributions of civil servants so retiring remain a part of the superannuation fund.

",Liberal,,Hon. Mr. ROBB:,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3c716a03-43b1-401d-820f-7921b10e5565&Language=E&Section=ALL
740963,ca.proc.d.1925-05-04.4.9,1925-05-04,,,,subtopic,QUESTIONS,INTERNATIONAL LABOUR BUREAU-GENEVA,,,,,,
740964,ca.proc.d.1925-05-04.4.9.1,1925-05-04,3738c10d-d188-441d-ad40-3689553b373a,ca.m.9678,,,QUESTIONS,INTERNATIONAL LABOUR BUREAU-GENEVA,,"1.	Did the Minister of Labour advertise in Canadian newspapers that the position of Assistant Legal Adviser in the International Labour Bureau, Geneva, was vacant and that applications would be received from Canadians?
2.	If so, how many applications from Canadians were received ?
3.	Has any appointment to this vacancy been made?
4.	If so, what is the date of such appointment and the name of the person appointed?

",Conservative (1867-1942),,Mr. BLACK (Yukon):,http://www.parl.gc.ca/parlinfo/Files/Parliamentarian.aspx?Item=3738c10d-d188-441d-ad40-3689553b373a&Language=E&Section=ALL
