basepk;speechtext;speakername;year
1567136;hear hear;Wilbert Ross Thatcher;1949
1567137;moos jaw say hear hear let remind privat enterpris go broke good thing taxpay foot bill govern take go govern institut goe broke govern institut show profit show loss matter taxpay come rescu right say countri go sourc taxat dri;Ernest George Hansell;1949
1567138;dri;John Horne Blackmore;1949
1567139;lethbridg mr blackmor say dri case countri would go wealth base financi consider true criterion measur nation wealth govern corpor may respons parliament feel call upon parliament peopl cover loss thing like govern enterpris much sort thing trust compani taken go taken greater servic render commonwealth would differ matter solvenc involv could call upon taxpay like hope matter gone stone left unturn get inform know peopl respons govern head head;Ernest George Hansell;1949
1567140;mr speaker like call attent hous matter relat import resolut war broke ten year war aftermath war govern want make chang although satisfi period present method extern commun code idea make chang start war broke code use refer night connect statut westminst tb differ oversea telecommun act old system new war broke half year dominion countri behind mother countri code system govern right make rule regul code half year war great britain dominion work decid adopt new code entri unit state conflict read whole matter aris statut name first place extern commun servic mean radio use extern commun radiotelephon system old countri canadian broadcast corpor british broadcast corpor right make rule regul code today expand notic chang resolut use feder censor charg work man type code told could war censor prevent certain inform given inform held hous common know told could get inform secret session attend reason gave time thought would noth reveal soviet know ad someth new must say present minist trade commerc mr howe oblig contact go polit organ use word polit offens way minist concern great deal confid present minist lot war use word person sens minist crown polit present minist trade commerc lot good work war new corpor vast power properti equip canadian marconi compani limit cabl wireless limit use connect extern commun servic word resolut commun servic oper new corpor co ordin servic part commonwealth definit word co ordin link matter oversea telecommun act even statut westminst know former commonwealth countri empir india pakistan burma ceylon empir belong separ organ resolut appli notic minist transport make rule regul corpor corpor creat call canadian oversea telecommun corpor take certain properti equip without subject censor minist go right make rule regul call attent matter new code resolut read co ordin servic part commonwealth statut westminst appli way part commonwealth exampl section statut appli new zealand australia troubl aros dollar pound sterl forth said even nevertheless minist abl make rule regul bodi deal extern commun servic mention radio everybodi know radio corpor take part handl extern commun servic conjunct b b c c b c code power make rule regul know go end view resolut extens separatist polici autonomi sovereignti amount extens principl caus much troubl countri empir know empir resolut propos co ordin canadian servic servic part commonwealth embassi world wonder separ countri ambassador countri sea old empir divid spend money temiscouata mr pouliot witti speech refer ambassador call ambassador davenport said call ambassador countri sea make use code differ code know empir ambassador learn experi code commun matter extern affair want king queen process temiscouata said last year akin undertak process drum major lead band royal process fail see necess measur present time year begin war want co ordin servic part resolut read minist financ approv governor council author lend time time money corpor unappropri money consolid revenu fund temporari purpos aggreg outstand time exceed new polici appropri servic tell form separ autonomi sovereignti;Thomas Langton Church;1949
1567141;rise make extend comment upon principl resolut like make brief refer statement made hous afternoon rose town biggar mr coldwel moos jaw mr thatcher hous listen statement interest must seem strang hear statement peopl hold belief principl nation nation aris admit public util strang grave question rais socialist belief idea social except approach select principl nation heard scath refer weak financi posit compani session session heard peopl denounc profit profit accord someth wick compani profit compani held sort peopl believ nation noth compani poor financi posit seem much consist posit wait consist socialist wait long time could help make observ mani attack made compani profit compani without wick profit seem field regard natur object nation public util socialist warn nation compani none wick profit;Donald Methuen Fleming;1949
1567142;sure eglinton mr fleme want fair rosetown biggar mr cold said agre principl bill prefac remark statement;Wilbert Ross Thatcher;1949
1567143;realiz difficulti committe whole whether question proper right minist stage appropri time like give full explan implic bill ignor oversea telecommun hous agre thing upon complet ignor follow object bill creat govern monopoli field like know take compani present facil suffici safeti matter defenc may control telecommun net result mean creat monopoli field go enter argument rais seem subject import come bill seem requir examin committe deal financi aspect necess think reason done opinion thing made clear believ proper time place committe hous may examin wit engag engag busi offic depart deal hope minist rememb suggest withhold anyth suggest give full detail want second result may achiev may flow event bill pass impli critic seek full inform think hous peopl entitl peanut although comparison larg sum larg substanti sum money;Arthur Leroy Smith;1949
1567144;would hope govern go busi cannot help seem oversea telecommun act oper enough busi moment think govern go particular field desir control enterpris;John Lambert Gibson;1949
1567145;suggest ask inform;Arthur Leroy Smith;1949
